Environment,Task,Seed,Bin,InaccuracyType,Steps,Collisions,TerminationReason,BugFound
3970,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,4,Task Completed,False
545,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
472,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,2,Task Completed,False
7154,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,0,Task Completed,False
712,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
2953,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,24,2,Task Completed,False
1554,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
4264,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,2,Task Completed,False
1126,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
8401,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,0,Task Completed,False
3660,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,0,Task Completed,False
5897,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
7967,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,0,Task Completed,False
8827,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
2981,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,19,2,Task Completed,False
7431,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,18,0,Task Completed,False
4733,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,17,1,Task Completed,False
6662,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,2,Task Completed,False
3468,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
2292,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,0,Task Completed,False
1379,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,4,Task Completed,False
59,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
5901,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,0,Task Completed,False
3730,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,6,High Collision,True
1832,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,2,Task Completed,False
8901,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,17,5,Task Completed,False
9341,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
8813,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,21,5,Task Completed,False
8848,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,2,Task Completed,False
4126,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,1,Task Completed,False
6344,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
7839,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,18,0,Task Completed,False
8048,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,1,Task Completed,False
