Seed Number,Bin Number,Environment,Task,Terminated,Execution Time (s)
Unknown,Result_ACAS_5_9472,Env_430,Task_64,False,1.46
Unknown,Result_ACAS_5_9472,Env_430,Task_601,False,0.15
Unknown,Result_ACAS_5_9472,Env_430,Task_416,False,1.15
Unknown,Result_ACAS_5_9472,Env_430,Task_422,False,0.92
Unknown,Result_ACAS_5_9472,Env_430,Task_535,False,0.6
Unknown,Result_ACAS_5_9472,Env_430,Task_228,False,0.74
Unknown,Result_ACAS_5_9472,Env_430,Task_534,False,0.31
Unknown,Result_ACAS_5_9472,Env_430,Task_248,False,1.28
Unknown,Result_ACAS_5_9472,Env_430,Task_513,False,0.31
Unknown,Result_ACAS_5_9472,Env_430,Task_523,False,0.23
Unknown,Result_ACAS_5_9472,Env_430,Task_545,False,0.15
Unknown,Result_ACAS_5_9472,Env_430,Task_508,False,0.83
Unknown,Result_ACAS_5_9472,Env_430,Task_88,False,0.36
Unknown,Result_ACAS_5_9472,Env_430,Task_104,False,1.48
Unknown,Result_ACAS_5_9472,Env_430,Task_349,False,0.12
Unknown,Result_ACAS_5_9472,Env_430,Task_580,False,1.04
Unknown,Result_ACAS_5_9472,Env_430,Task_360,False,0.78
Unknown,Result_ACAS_5_9472,Env_430,Task_128,False,1.06
Unknown,Result_ACAS_5_9472,Env_430,Task_242,False,0.48
Unknown,Result_ACAS_5_9472,Env_430,Task_234,False,0.94
Unknown,Result_ACAS_5_9472,Env_430,Task_28,False,0.56
Unknown,Result_ACAS_5_9472,Env_430,Task_176,False,1.22
Unknown,Result_ACAS_5_9472,Env_430,Task_621,False,0.66
Unknown,Result_ACAS_5_9472,Env_430,Task_385,False,0.87
Unknown,Result_ACAS_5_9472,Env_430,Task_398,False,1.1
Unknown,Result_ACAS_5_9472,Env_430,Task_305,False,1.22
Unknown,Result_ACAS_5_9472,Env_430,Task_27,False,0.71
Unknown,Result_ACAS_5_9472,Env_430,Task_163,False,1.18
Unknown,Result_ACAS_5_9472,Env_430,Task_10,False,0.16
Unknown,Result_ACAS_5_9472,Env_430,Task_151,False,0.53
Unknown,Result_ACAS_5_9472,Env_430,Task_397,False,0.78
Unknown,Result_ACAS_5_9472,Env_430,Task_371,False,0.81
Unknown,Result_ACAS_5_9472,Env_430,Task_231,False,1.19
Unknown,Result_ACAS_5_9472,Env_430,Task_355,False,0.81
Unknown,Result_ACAS_5_9472,Env_430,Task_407,False,0.06
Unknown,Result_ACAS_5_9472,Env_430,Task_41,False,0.72
Unknown,Result_ACAS_5_9472,Env_430,Task_196,False,0.78
Unknown,Result_ACAS_5_9472,Env_430,Task_487,False,1.02
Unknown,Result_ACAS_5_9472,Env_430,Task_284,False,1.14
Unknown,Result_ACAS_5_9472,Env_430,Task_125,False,1.9
Unknown,Result_ACAS_5_9472,Env_430,Task_205,False,0.71
Unknown,Result_ACAS_5_9472,Env_430,Task_120,False,0.76
Unknown,Result_ACAS_5_9472,Env_430,Task_567,False,1.26
Unknown,Result_ACAS_5_9472,Env_430,Task_503,False,0.2
Unknown,Result_ACAS_5_9472,Env_430,Task_119,False,1.08
Unknown,Result_ACAS_5_9472,Env_430,Task_136,False,0.66
Unknown,Result_ACAS_5_9472,Env_430,Task_75,False,0.3
Unknown,Result_ACAS_5_9472,Env_430,Task_442,False,1.22
Unknown,Result_ACAS_5_9472,Env_430,Task_496,False,1.46
Unknown,Result_ACAS_5_9472,Env_430,Task_405,False,1.47
Unknown,Result_ACAS_5_9472,Env_430,Task_57,False,0.33
Unknown,Result_ACAS_5_9472,Env_430,Task_39,False,0.7
Unknown,Result_ACAS_5_9472,Env_430,Task_239,False,0.64
Unknown,Result_ACAS_5_9472,Env_430,Task_71,False,0.16
Unknown,Result_ACAS_5_9472,Env_430,Task_568,False,1.5
Unknown,Result_ACAS_5_9472,Env_430,Task_543,False,0.73
Unknown,Result_ACAS_5_9472,Env_430,Task_187,False,1.21
Unknown,Result_ACAS_5_9472,Env_430,Task_392,False,1.05
Unknown,Result_ACAS_5_9472,Env_430,Task_216,False,0.5
Unknown,Result_ACAS_5_9472,Env_430,Task_616,False,0.26
Unknown,Result_ACAS_5_9472,Env_430,Task_235,False,0.92
Unknown,Result_ACAS_5_9472,Env_430,Task_555,False,1.48
Unknown,Result_ACAS_5_9472,Env_430,Task_376,False,1.15
Unknown,Result_ACAS_5_9472,Env_430,Task_85,False,1.17
Unknown,Result_ACAS_5_9472,Env_430,Task_341,False,0.33
Unknown,Result_ACAS_5_9472,Env_430,Task_386,False,0.67
Unknown,Result_ACAS_5_9472,Env_430,Task_178,False,0.3
Unknown,Result_ACAS_5_9472,Env_430,Task_290,False,0.87
Unknown,Result_ACAS_5_9472,Env_430,Task_440,False,1.65
Unknown,Result_ACAS_5_9472,Env_430,Task_585,False,1.25
Unknown,Result_ACAS_5_9472,Env_430,Task_87,False,0.04
Unknown,Result_ACAS_5_9472,Env_430,Task_102,False,0.83
Unknown,Result_ACAS_5_9472,Env_430,Task_172,False,1.16
Unknown,Result_ACAS_5_9472,Env_430,Task_411,False,0.55
Unknown,Result_ACAS_5_9472,Env_430,Task_288,False,1.48
Unknown,Result_ACAS_5_9472,Env_430,Task_95,False,1.44
Unknown,Result_ACAS_5_9472,Env_430,Task_365,False,1.43
Unknown,Result_ACAS_5_9472,Env_430,Task_395,False,1.51
Unknown,Result_ACAS_5_9472,Env_430,Task_364,False,1.17
Unknown,Result_ACAS_5_9472,Env_430,Task_514,False,1.09
Unknown,Result_ACAS_5_9472,Env_430,Task_141,False,0.7
Unknown,Result_ACAS_5_9472,Env_430,Task_491,False,1.22
Unknown,Result_ACAS_5_9472,Env_430,Task_282,False,0.94
Unknown,Result_ACAS_5_9472,Env_430,Task_344,False,1.25
Unknown,Result_ACAS_5_9472,Env_430,Task_143,False,0.92
Unknown,Result_ACAS_5_9472,Env_430,Task_573,False,1.09
Unknown,Result_ACAS_5_9472,Env_430,Task_461,False,0.67
Unknown,Result_ACAS_5_9472,Env_430,Task_127,False,1.32
Unknown,Result_ACAS_5_9472,Env_430,Task_126,False,1.25
Unknown,Result_ACAS_5_9472,Env_430,Task_465,False,1.55
Unknown,Result_ACAS_5_9472,Env_430,Task_37,False,0.28
Unknown,Result_ACAS_5_9472,Env_430,Task_357,False,0.9
Unknown,Result_ACAS_5_9472,Env_430,Task_171,False,1.29
Unknown,Result_ACAS_5_9472,Env_430,Task_274,False,0.09
Unknown,Result_ACAS_5_9472,Env_430,Task_512,False,0.64
Unknown,Result_ACAS_5_9472,Env_430,Task_17,False,0.98
Unknown,Result_ACAS_5_9472,Env_430,Task_594,False,1.12
Unknown,Result_ACAS_5_9472,Env_430,Task_186,False,0.81
Unknown,Result_ACAS_5_9472,Env_430,Task_414,False,1.7
Unknown,Result_ACAS_5_9472,Env_430,Task_243,False,0.19
Unknown,Result_ACAS_5_9472,Env_430,Task_6,False,0.66
Unknown,Result_ACAS_5_9472,Env_430,Task_506,False,0.24
Unknown,Result_ACAS_5_9472,Env_430,Task_324,False,0.74
Unknown,Result_ACAS_5_9472,Env_430,Task_300,False,1.15
Unknown,Result_ACAS_5_9472,Env_430,Task_294,False,0.69
Unknown,Result_ACAS_5_9472,Env_430,Task_322,False,0.89
Unknown,Result_ACAS_5_9472,Env_430,Task_525,False,0.82
Unknown,Result_ACAS_5_9472,Env_430,Task_185,False,0.49
Unknown,Result_ACAS_5_9472,Env_430,Task_183,False,0.08
Unknown,Result_ACAS_5_9472,Env_430,Task_91,False,1.49
Unknown,Result_ACAS_5_9472,Env_430,Task_501,False,1.14
Unknown,Result_ACAS_5_9472,Env_430,Task_574,False,1.23
Unknown,Result_ACAS_5_9472,Env_430,Task_480,False,0.82
Unknown,Result_ACAS_5_9472,Env_430,Task_595,False,0.4
Unknown,Result_ACAS_5_9472,Env_430,Task_528,False,1.17
Unknown,Result_ACAS_5_9472,Env_430,Task_464,False,0.65
Unknown,Result_ACAS_5_9472,Env_430,Task_279,False,1.13
Unknown,Result_ACAS_5_9472,Env_430,Task_74,False,0.81
Unknown,Result_ACAS_5_9472,Env_430,Task_131,False,0.25
Unknown,Result_ACAS_5_9472,Env_430,Task_533,False,0.84
Unknown,Result_ACAS_5_9472,Env_430,Task_270,False,1.43
Unknown,Result_ACAS_5_9472,Env_430,Task_368,False,0.95
Unknown,Result_ACAS_5_9472,Env_430,Task_72,False,1.22
Unknown,Result_ACAS_5_9472,Env_430,Task_224,False,0.14
Unknown,Result_ACAS_5_9472,Env_430,Task_31,False,1.73
Unknown,Result_ACAS_5_9472,Env_430,Task_267,False,0.58
